Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Note
2023-03-02,Breakfast,105.0,0.4,0.1,0.1,0.0,0.0,0.0,1.2,422.4,27.0,3.1,14.4,1.3,5.0,17.1,0.6,1.7,
2023-03-02,Lunch,710.0,30.1,3.2,0.1,0.0,0.0,0.0,2.8,214.0,91.8,9.8,44.4,18.1,0.0,15.3,1.2,1.3,
2023-03-02,Dinner,699.8,29.4,7.8,2.4,6.2,0.2,19.8,268.3,180.4,87.2,3.4,28.6,22.6,12.7,84.1,15.8,2.0,
2023-03-02,Snacks,166.0,0.4,0.0,0.1,0.1,0.0,0.0,6.9,615.7,39.6,1.0,28.7,2.4,0.0,193.7,19.4,2.5,
2023-03-03,Breakfast,456.0,30.8,5.2,2.0,3.5,0.0,0.0,111.4,565.1,34.1,7.3,17.2,15.3,5.8,17.8,2.1,4.9,
2023-03-03,Lunch,294.6,15.9,11.0,0.6,3.3,0.0,0.0,189.5,230.3,29.8,4.8,22.0,10.2,13.1,15.3,10.0,7.6,
2023-03-03,Dinner,901.0,31.3,20.4,1.2,4.2,0.0,0.0,1280.4,0.0,107.3,5.3,26.5,41.3,0.0,0.0,0.0,0.0,
2023-03-04,Breakfast,799.3,48.6,8.8,0.2,0.0,0.0,0.0,103.6,770.1,73.7,13.9,49.4,24.3,5.0,36.1,2.5,4.4,
2023-03-04,Dinner,1049.0,42.7,16.5,0.0,0.0,0.0,0.0,1257.3,0.0,117.4,12.5,20.2,42.7,0.0,0.0,0.0,0.0,
2023-03-05,Breakfast,799.3,48.6,8.8,0.2,0.0,0.0,0.0,103.6,770.1,73.7,13.9,49.4,24.3,5.0,36.1,2.5,4.4,
2023-03-05,Dinner,755.5,28.2,3.5,8.1,16.1,0.0,0.0,1570.0,0.0,96.7,14.2,13.5,35.7,0.0,0.0,6.0,12.0,
2023-03-06,Breakfast,1142.1,56.4,12.0,1.6,1.1,0.0,0.0,1058.2,1003.4,101.6,17.8,43.6,59.3,5.0,40.4,7.8,13.0,
2023-03-06,Lunch,440.8,27.2,9.5,0.6,6.6,0.0,0.0,1.1,0.0,35.9,1.7,0.5,12.1,0.0,0.0,27.8,0.0,
2023-03-06,Dinner,628.5,33.5,4.0,4.8,9.0,0.0,108.9,87.3,0.1,44.4,5.9,3.7,34.7,1.6,0.0,2.4,8.8,
2023-03-08,Breakfast,972.7,53.7,22.3,3.9,9.3,0.7,324.4,989.1,567.4,76.2,15.5,17.0,45.3,41.2,34.3,10.1,11.8,
2023-03-08,Dinner,2067.0,93.7,21.6,19.2,42.4,0.0,75.0,2108.1,2495.4,247.5,14.4,48.3,64.1,133.8,125.0,44.4,78.5,
2023-03-09,Breakfast,804.5,30.2,5.2,0.2,0.0,0.0,15.0,737.2,636.4,93.5,12.3,41.6,31.0,40.0,47.4,9.8,18.0,
2023-03-09,Dinner,1182.0,54.5,21.3,0.0,0.0,0.0,0.0,659.0,180.0,134.6,4.9,27.0,32.2,0.0,34.0,0.0,0.0,
2023-03-10,Breakfast,744.2,33.7,5.1,0.0,0.0,0.0,0.0,400.9,45.8,46.1,8.3,11.4,31.9,1.6,1.6,0.3,0.4,
2023-03-10,Dinner,1505.0,69.3,28.0,0.1,0.0,0.0,0.0,739.8,214.1,158.7,14.1,45.1,60.8,0.0,49.3,1.2,1.3,
2023-03-11,Breakfast,469.1,20.5,2.8,0.2,0.0,0.0,0.0,403.7,682.2,62.6,11.2,41.8,13.1,6.6,34.0,2.1,3.4,
